Line 189: p=1, b=2, s=0
Line 190: p=1, b=2, s=0
Line 191: p=0, b=1, s=0
Line 192: p=0, b=1, s=0
Line 193: p=1, b=2, s=0
Line 194: p=1, b=2, s=0
Line 195: p=1, b=2, s=0
Line 196: p=0, b=1, s=0
Line 197: p=0, b=1, s=0
Line 198: p=1, b=2, s=0
Line 199: p=1, b=2, s=0
Line 200: p=1, b=2, s=0
Line 201: p=0, b=1, s=0
Line 202: p=0, b=1, s=0
Line 203: p=1, b=2, s=0
Line 204: p=1, b=2, s=0
Line 205: p=1, b=2, s=0
Line 206: p=0, b=1, s=0
Line 207: p=0, b=1, s=0
Line 208: p=1, b=2, s=0
Line 209: p=1, b=2, s=0
Line 210: p=1, b=2, s=0
Line 211: p=0, b=1, s=0
Line 212: p=0, b=1, s=0
Line 213: p=1, b=2, s=0
Line 214: p=1, b=2, s=0
Line 215: p=1, b=2, s=0
Line 216: p=0, b=1, s=0
Line 217: p=0, b=1, s=0
Line 218: p=1, b=2, s=0
Line 219: p=1, b=2, s=0
Line 220: p=1, b=2, s=0
Line 221: p=0, b=1, s=0
Line 222: p=0, b=1, s=0
Line 223: p=1, b=2, s=0
Line 224: p=1, b=2, s=0
Line 225: p=1, b=2, s=0
Line 226: p=0, b=1, s=0
Line 227: p=0, b=1, s=0
Line 228: p=0, b=1, s=0
Line 229: p=1, b=2, s=0
Line 230: p=1, b=2, s=0
Line 231: p=1, b=3, s=0
Line 232: p=1, b=3, s=0
Line 233: p=1, b=3, s=0
Line 234: p=1, b=4, s=0
Line 235: p=1, b=4, s=0
Line 236: p=1, b=5, s=0
Line 237: p=1, b=5, s=0
Line 238: p=1, b=5, s=0
Line 239: p=1, b=5, s=0
Line 240: p=1, b=6, s=0
Line 241: p=1, b=6, s=0
Line 242: p=1, b=5, s=0
Line 243: p=1, b=4, s=0
Line 244: p=1, b=3, s=0
Line 245: p=1, b=4, s=0
Line 246: p=1, b=4, s=0
Line 247: p=1, b=4, s=0
Line 248: p=1, b=3, s=0
Line 249: p=1, b=2, s=0
Line 250: p=1, b=3, s=0
Line 251: p=1, b=4, s=1
Line 252: p=1, b=4, s=1
Line 253: p=1, b=4, s=1
Line 254: p=1, b=5, s=1
Line 255: p=1, b=5, s=1
Line 256: p=1, b=5, s=1
Line 257: p=1, b=5, s=1
Line 258: p=1, b=4, s=1
Line 259: p=1, b=4, s=1
Line 260: p=1, b=4, s=1
Line 261: p=1, b=3, s=0
Line 262: p=1, b=2, s=0
Line 263: p=0, b=1, s=0
Line 264: p=0, b=1, s=0
Line 265: p=1, b=2, s=0
Line 266: p=1, b=2, s=0
Line 267: p=1, b=3, s=0
Line 268: p=1, b=3, s=0
Line 269: p=1, b=3, s=0
Line 270: p=1, b=4, s=0
Line 271: p=1, b=4, s=0
Line 272: p=1, b=5, s=0
Line 273: p=1, b=5, s=0
Line 274: p=1, b=5, s=0
Line 275: p=1, b=5, s=0
Line 276: p=1, b=6, s=0
Line 277: p=1, b=6, s=0
Line 278: p=1, b=5, s=0
Line 279: p=1, b=4, s=0
Line 280: p=1, b=3, s=0
Line 281: p=1, b=4, s=0
Line 282: p=1, b=4, s=0
Line 283: p=1, b=4, s=0
Line 284: p=1, b=3, s=0
Line 285: p=1, b=2, s=0
Line 286: p=1, b=3, s=0
Line 287: p=1, b=4, s=1
Line 288: p=1, b=4, s=1
Line 289: p=1, b=4, s=1
Line 290: p=1, b=5, s=1
Line 291: p=1, b=5, s=1
Line 292: p=1, b=5, s=1
Line 293: p=1, b=5, s=1
Line 294: p=1, b=4, s=1
Line 295: p=1, b=4, s=1
Line 296: p=1, b=4, s=1
Line 297: p=1, b=3, s=0
Line 298: p=1, b=2, s=0
Line 299: p=0, b=1, s=0
Line 300: p=0, b=1, s=0
Line 301: p=1, b=2, s=0
Line 302: p=1, b=2, s=0
Line 303: p=1, b=3, s=0
Line 304: p=1, b=3, s=0
Line 305: p=1, b=3, s=0
Line 306: p=1, b=4, s=0
Line 307: p=1, b=4, s=0
Line 308: p=1, b=5, s=0
Line 309: p=1, b=5, s=0
Line 310: p=1, b=5, s=0
Line 311: p=1, b=5, s=0
Line 312: p=1, b=6, s=0
Line 313: p=1, b=6, s=0
Line 314: p=1, b=5, s=0
Line 315: p=1, b=4, s=0
Line 316: p=1, b=3, s=0
Line 317: p=1, b=4, s=0
Line 318: p=1, b=4, s=0
Line 319: p=1, b=4, s=0
Line 320: p=1, b=3, s=0
Line 321: p=1, b=2, s=0
Line 322: p=1, b=3, s=0
Line 323: p=1, b=4, s=1
Line 324: p=1, b=4, s=1
Line 325: p=1, b=4, s=1
Line 326: p=1, b=5, s=1
Line 327: p=1, b=5, s=1
Line 328: p=1, b=5, s=1
Line 329: p=1, b=5, s=1
Line 330: p=1, b=4, s=1
Line 331: p=1, b=4, s=1
Line 332: p=1, b=4, s=1
Line 333: p=1, b=3, s=0
Line 334: p=1, b=2, s=0
Line 335: p=0, b=1, s=0
Line 336: p=0, b=1, s=0
Line 337: p=0, b=1, s=0
Line 338: p=1, b=2, s=0
Line 339: p=1, b=2, s=0
Line 340: p=1, b=3, s=0
Line 341: p=1, b=3, s=1
Line 342: p=1, b=3, s=1
Line 343: p=1, b=3, s=1
Line 344: p=1, b=3, s=1
Line 345: p=1, b=3, s=1
Line 346: p=1, b=3, s=0
Line 347: p=1, b=2, s=0
Line 348: p=0, b=1, s=0
Line 349: p=0, b=1, s=0
Line 350: p=1, b=2, s=0
Line 351: p=1, b=2, s=0
Line 352: p=1, b=3, s=0
Line 353: p=1, b=3, s=1
Line 354: p=1, b=3, s=1
Line 355: p=1, b=3, s=1
Line 356: p=1, b=3, s=1
Line 357: p=1, b=3, s=0
Line 358: p=1, b=2, s=0
Line 359: p=0, b=1, s=0
Line 360: p=0, b=1, s=0
Line 361: p=1, b=2, s=0
Line 362: p=1, b=2, s=0
Line 363: p=1, b=3, s=0
Line 364: p=1, b=3, s=1
Line 365: p=1, b=3, s=1
Line 366: p=1, b=3, s=1
Line 367: p=1, b=3, s=1
Line 368: p=1, b=3, s=1
Line 369: p=1, b=3, s=0
Line 370: p=1, b=2, s=0
Line 371: p=0, b=1, s=0
Line 372: p=0, b=1, s=0
Line 373: p=1, b=2, s=0
Line 374: p=1, b=2, s=0
Line 375: p=1, b=3, s=0
Line 376: p=1, b=3, s=1
Line 377: p=1, b=3, s=1
Line 378: p=1, b=3, s=1
Line 379: p=1, b=3, s=1
Line 380: p=1, b=3, s=1
Line 381: p=1, b=3, s=0
Line 382: p=1, b=2, s=0
Line 383: p=0, b=1, s=0
Line 384: p=0, b=1, s=0
Line 385: p=0, b=1, s=0
Line 386: p=1, b=2, s=0
Line 387: p=1, b=2, s=0
Line 388: p=1, b=3, s=0
Line 389: p=1, b=3, s=0
Line 390: p=1, b=3, s=1
Line 391: p=1, b=3, s=1
Line 392: p=1, b=3, s=0
Line 393: p=1, b=2, s=0
Line 394: p=1, b=3, s=0
Line 395: p=1, b=3, s=0
Line 396: p=1, b=3, s=0
Line 397: p=1, b=4, s=0
Line 398: p=1, b=4, s=0
Line 399: p=1, b=4, s=0
Line 400: p=1, b=3, s=0
Line 401: p=1, b=2, s=0
Line 402: p=0, b=1, s=0
Line 403: p=0, b=1, s=0
Line 404: p=1, b=2, s=0
Line 405: p=1, b=2, s=0
Line 406: p=1, b=3, s=0
Line 407: p=1, b=3, s=0
Line 408: p=1, b=3, s=1
Line 409: p=1, b=3, s=1
Line 410: p=1, b=3, s=1
Line 411: p=1, b=3, s=1
Line 412: p=1, b=3, s=0
Line 413: p=1, b=2, s=0
Line 414: p=1, b=3, s=0
