timestamp,temperature,humidity,occupancy,ac_temp_setting,ac_state
2026-02-10T14:52:26.959562,25.5,71.8,False,24,off
2026-02-10T14:52:32.033824,25.5,71.9,False,24,off
2026-02-10T14:52:37.131770,25.5,71.9,False,24,off
2026-02-10T14:52:42.287588,25.5,71.9,False,24,off
2026-02-10T14:52:46.989477,25.5,72,False,24,off
2026-02-10T14:52:52.009995,25.5,72,False,24,off
2026-02-10T14:52:56.998849,25.5,72.1,False,24,off
2026-02-10T14:53:02.026367,25.5,72.1,False,24,off
2026-02-10T14:53:07.033141,25.5,72.1,False,24,off
2026-02-10T14:53:12.036710,25.5,72.1,False,24,off
2026-02-10T14:53:17.038361,25.5,72.2,False,24,off
2026-02-10T14:53:22.060284,25.5,72.2,False,24,off
2026-02-10T14:53:27.043773,25.5,72.3,False,24,off
2026-02-10T14:53:32.052190,25.6,72.4,False,24,off
2026-02-10T14:53:41.583128,25.6,72.4,False,24,off
2026-02-10T14:53:42.239079,25.5,72.4,False,24,off
2026-02-10T14:53:47.155497,25.6,72.4,False,24,off
2026-02-10T14:53:52.297927,25.6,72.9,False,24,off
2026-02-10T14:53:57.114020,25.6,72.7,False,24,off
2026-02-10T14:54:02.185625,25.6,72.6,False,24,off
2026-02-10T14:54:07.152093,25.6,72.5,False,24,off
2026-02-10T14:54:12.128326,25.6,72.6,False,24,off
2026-02-10T14:54:17.164449,25.6,72.6,False,24,off
2026-02-10T14:54:22.202239,25.6,72.6,False,24,off
2026-02-10T14:54:27.174268,25.6,72.7,False,24,off
2026-02-10T14:54:32.182470,25.6,72.7,False,24,off
2026-02-10T14:54:37.190591,25.6,72.6,False,24,off
2026-02-10T14:54:42.201600,25.6,72.6,False,24,off
2026-02-10T14:54:47.221107,25.6,72.7,False,24,off
2026-02-10T14:54:52.204700,25.6,72.7,False,24,off
2026-02-10T14:54:57.209935,25.6,72.9,False,24,off
2026-02-10T14:55:02.250448,25.6,72.9,False,24,off
2026-02-10T14:55:07.252046,25.6,72.9,False,24,off
2026-02-10T14:55:12.256990,25.6,72.9,False,24,off
2026-02-10T14:55:17.272536,25.6,72.9,False,24,off
2026-02-10T14:55:22.255508,25.6,72.9,False,24,off
2026-02-10T14:55:27.279784,25.6,72.9,False,24,off
2026-02-10T14:55:32.298190,25.6,72.8,False,24,off
2026-02-10T14:55:37.335329,25.6,72.9,False,24,off
2026-02-10T14:55:42.292610,25.6,72.9,False,24,off
2026-02-10T14:55:47.365220,25.6,73,False,24,off
2026-02-10T14:55:52.308795,25.6,73.1,False,24,off
2026-02-10T14:55:57.315672,25.6,73.1,False,24,off
2026-02-10T14:56:02.325145,25.6,73.1,False,24,off
2026-02-10T14:56:08.934491,25.6,73.1,False,24,off
2026-02-10T14:56:12.378834,25.6,73.2,False,24,off
2026-02-10T14:56:17.363917,25.6,73.2,False,24,off
2026-02-10T14:56:23.751367,25.6,73.3,False,24,off
2026-02-10T14:56:27.396314,25.6,73.3,False,24,off
2026-02-10T14:56:32.384575,25.6,73.4,False,24,off
2026-02-10T14:56:37.392722,25.6,73.4,False,24,off
2026-02-10T14:56:42.400493,25.6,73.4,False,24,off
2026-02-10T14:56:47.410333,25.6,73.4,False,24,off
2026-02-10T14:56:52.448556,25.6,73.5,False,24,off
2026-02-10T14:56:57.433888,25.6,73.5,False,24,off
2026-02-10T14:57:02.439270,25.6,73.5,False,24,off
2026-02-10T14:57:07.466554,25.6,73.5,False,24,off
2026-02-10T14:57:12.489956,25.6,73.6,False,24,off
2026-02-10T14:57:18.788203,25.6,73.6,False,24,off
2026-02-10T14:57:23.773698,25.6,73.6,False,24,off
2026-02-10T14:57:27.624695,25.6,73.7,False,24,off
2026-02-10T14:57:32.493052,25.6,73.7,False,24,off
2026-02-10T14:57:37.502170,25.6,73.7,False,24,off
2026-02-10T14:57:42.531812,25.6,73.9,False,24,off
2026-02-10T14:57:47.550472,25.6,73.9,False,24,off
2026-02-10T14:57:52.553410,25.6,74,False,24,off
2026-02-10T14:57:57.556251,25.6,73.9,False,24,off
2026-02-10T14:58:02.757337,25.6,73.9,False,24,off
2026-02-10T14:58:07.594683,25.6,73.8,False,24,off
2026-02-10T14:58:12.571373,25.6,73.8,False,24,off
2026-02-10T14:58:17.599983,25.6,73.8,False,24,off
2026-02-10T14:58:22.628425,25.6,73.8,False,24,off
2026-02-10T14:58:28.783253,25.6,73.7,False,24,off
2026-02-10T14:58:32.608304,25.6,73.8,False,24,off
2026-02-10T14:58:37.626416,25.7,73.8,False,24,off
2026-02-10T14:58:42.654307,25.7,73.8,False,24,off
2026-02-10T14:58:47.633510,25.7,73.9,False,24,off
2026-02-10T14:58:52.642876,25.7,73.8,False,24,off
2026-02-10T14:58:57.651189,25.7,73.8,False,24,off
2026-02-10T14:59:02.670447,25.6,73.8,False,24,off
2026-02-10T14:59:07.679911,25.6,73.7,False,24,off
2026-02-10T14:59:12.681557,25.6,73.8,False,24,off
2026-02-10T14:59:17.696443,25.7,73.8,False,24,off
2026-02-10T14:59:22.707855,25.7,73.8,False,24,off
2026-02-10T14:59:27.735797,25.7,73.9,False,24,off
2026-02-10T14:59:32.716691,25.7,73.9,False,24,off
2026-02-10T14:59:37.725313,25.7,74,False,24,off
2026-02-10T14:59:42.762717,25.7,74,False,24,off
2026-02-10T14:59:47.745406,25.7,73.9,False,24,off
2026-02-10T14:59:52.754758,25.7,73.9,False,24,off
2026-02-10T14:59:57.783418,25.7,73.8,False,24,off
2026-02-10T15:00:02.790825,25.7,73.8,False,24,off
2026-02-10T15:00:07.783388,25.7,73.8,False,24,off
2026-02-10T15:00:12.787603,25.7,73.7,False,24,off
2026-02-10T15:00:17.800370,25.7,73.7,False,24,off
2026-02-10T15:00:22.835147,25.7,73.7,False,24,off
2026-02-10T15:00:27.817313,25.8,73.7,False,24,off
2026-02-10T15:00:32.840964,25.8,73.7,False,24,off
2026-02-10T15:00:37.850595,25.8,73.7,False,24,off
2026-02-10T15:00:42.874075,25.8,73.7,False,24,off
2026-02-10T15:00:47.912233,25.8,73.7,False,24,off
2026-02-10T15:00:54.289383,25.8,73.7,False,24,off
2026-02-10T15:00:57.876788,25.8,73.7,False,24,off
2026-02-10T15:01:02.883758,25.8,73.7,False,24,off
2026-02-10T15:01:07.899068,25.8,73.8,False,24,off
2026-02-10T15:01:12.902905,25.8,73.7,False,24,off
2026-02-10T15:01:17.913534,25.8,73.8,False,24,off
2026-02-10T15:01:22.932167,25.8,73.8,False,24,off
2026-02-10T15:01:27.949834,25.8,73.9,False,24,off
2026-02-10T15:01:34.296463,25.8,74,False,24,off
2026-02-10T15:01:38.090150,25.8,74.1,False,24,off
2026-02-10T15:01:43.000761,25.8,74.1,False,24,off
2026-02-10T15:01:48.072966,25.8,74.1,False,24,off
2026-02-10T15:02:09.356125,25.9,73.9,False,24,off
2026-02-10T15:02:15.223245,25.9,73.9,False,24,off
